MODEL,mean,std,n,BEST_HOUR,BEST_ACC,WORST_HOUR,WORST_ACC
XGB,20.41799520120076,18.052070670564,10,8,47.20052922946118,3,2.3705297386145503
RF,16.222186209526093,18.084549981211858,10,8,45.16108713712564,3,-0.25749424223506
DEEP_MLP,13.972506086098807,12.275824165743002,10,5,33.27903064688889,3,0.04321692226783
